id,latitude,longitude,common_name,new_name
155273796,34.1389734881,-118.728493005,Blue Dicks,Blue dick
153980188,33.5476810116,-117.606906023,Blue Dicks,Blue dick
153261358,37.1110965,-121.5646708,Blue Dicks,Blue dick
155488865,37.4582446,-122.2882855997,Blue Dicks,Blue dick
155275644,33.6937075064,-117.6336099807,Blue Dicks,Blue dick
153291686,34.0296278333,-119.545875,Blue Dicks,Blue dick
153254976,37.9062919138,-122.5744973793,Blue Dicks,Blue dick
153267750,34.125107948,-118.9245008497,Blue Dicks,Blue dick
153984940,37.4594583333,-122.286025,Blue Dicks,Blue dick
155368476,34.14823899,-118.29660587,Blue Dicks,Blue dick
154010835,36.5754,-121.8552166667,Blue Dicks,Blue dick
153862067,33.994555,-116.6573716667,Blue Dicks,Blue dick
155486111,34.1589456447,-117.8303442523,Blue Dicks,Blue dick
153291905,36.2557716667,-121.782945,Blue Dicks,Blue dick
153827622,34.1882760054,-117.3141397163,Blue Dicks,Blue dick
155274522,34.7330091978,-118.3916556021,Blue Dicks,Blue dick
153980202,33.5476810116,-117.606906023,Blue Dicks,Blue dick
155369973,36.4967758302,-121.2118470201,Blue Dicks,Blue dick
155379337,38.4496583333,-122.6448972222,Blue Dicks,Blue dick
155380028,38.4498444444,-122.6454555556,Blue Dicks,Blue dick
154011119,34.224631764,-118.1798125738,Blue Dicks,Blue dick
153876427,37.9309783333,-121.9978166667,Blue Dicks,Blue dick
153980756,33.63921509,-117.84509987,Blue Dicks,Blue dick
153292551,37.3329166667,-122.1034471667,Blue Dicks,Blue dick
155273040,37.167225,-121.7321033333,Blue Dicks,Blue dick
155380031,38.4499166667,-122.6458583333,Blue Dicks,Blue dick
153293838,37.1050194444,-121.5713972222,Blue Dicks,Blue dick
155375778,36.64965438,-121.8000374,Blue Dicks,Blue dick
153294433,37.9162166667,-121.94715,Blue Dicks,Blue dick
155381834,34.1163391671,-118.7589604361,Blue Dicks,Blue dick
155381092,38.44975,-122.6478944444,Blue Dicks,Blue dick
155381095,38.449725,-122.6479333333,Blue Dicks,Blue dick
153260952,38.9623265752,-123.3405115083,Blue Dicks,Blue dick
153974268,38.6815371132,-121.1823767984,Blue Dicks,Blue dick
155379027,38.4494444444,-122.6449055556,Blue Dicks,Blue dick
155377143,33.7909883333,-117.7483583333,Blue Dicks,Blue dick
155377854,38.4478111111,-122.6445527778,Blue Dicks,Blue dick
155378535,38.4493916667,-122.6444083333,Blue Dicks,Blue dick
155381100,38.4495777778,-122.6484611111,Blue Dicks,Blue dick
155381102,38.4495888889,-122.6484666667,Blue Dicks,Blue dick
155268125,36.490575,-121.1743616667,Blue Dicks,Blue dick
155480909,38.449695,-122.6485833333,Blue Dicks,Blue dick
155381459,38.4496583333,-122.6479861111,Blue Dicks,Blue dick
153821507,37.3690165289,-120.4225589022,Blue Dicks,Blue dick
155381097,38.4496583333,-122.6480111111,Blue Dicks,Blue dick
153880519,35.3145129155,-120.6615117565,Blue Dicks,Blue dick
155383422,36.5860157,-121.7127873,Blue Dicks,Blue dick
154020350,38.4416194444,-122.4875416667,Blue Dicks,Blue dick
155266554,38.2754175577,-121.8260851857,Blue Dicks,Blue dick
153959364,38.54625259,-121.07946034,Blue Dicks,Blue dick
153826862,34.23248239,-118.30936451,Blue Dicks,Blue dick
155389918,34.836217312,-118.6964740365,Blue Dicks,Blue dick
153851304,33.4582944444,-116.6013111111,Blue Dicks,Blue dick
155381104,38.4495916667,-122.6485361111,Blue Dicks,Blue dick
155266828,37.0888583333,-121.4698333333,Blue Dicks,Blue dick
155272507,36.619599,-120.9878309722,Blue Dicks,Blue dick
153852009,37.0275778333,-119.6431416667,Blue Dicks,Blue dick
155380353,38.4499583333,-122.645875,Blue Dicks,Blue dick
153824663,37.3915279698,-120.4108499101,Blue Dicks,Blue dick
